[layer_11.k] calls=141 zero_ratio=0.000987 two_zeros_ratio=0.000006
[layer_11.o] calls=141 zero_ratio=0.000000 two_zeros_ratio=0.000000
[layer_11.q] calls=141 zero_ratio=0.000987 two_zeros_ratio=0.000006
[layer_11.up] calls=141 zero_ratio=0.000613 two_zeros_ratio=0.000002
[layer_11.v] calls=141 zero_ratio=0.000987 two_zeros_ratio=0.000006
[layer_12.down] calls=141 zero_ratio=0.481049 two_zeros_ratio=0.657204
[layer_12.gate] calls=141 zero_ratio=0.000691 two_zeros_ratio=0.000003
[layer_12.k] calls=141 zero_ratio=0.000969 two_zeros_ratio=0.000006
[layer_12.o] calls=141 zero_ratio=0.000000 two_zeros_ratio=0.000000
[layer_12.q] calls=141 zero_ratio=0.000969 two_zeros_ratio=0.000006
[layer_12.up] calls=141 zero_ratio=0.000691 two_zeros_ratio=0.000003
[layer_12.v] calls=141 zero_ratio=0.000969 two_zeros_ratio=0.000006
[layer_13.down] calls=141 zero_ratio=0.474008 two_zeros_ratio=0.645529
[layer_13.gate] calls=141 zero_ratio=0.000655 two_zeros_ratio=0.000002
[layer_13.k] calls=141 zero_ratio=0.000988 two_zeros_ratio=0.000006
[layer_13.o] calls=141 zero_ratio=0.000000 two_zeros_ratio=0.000000
[layer_13.q] calls=141 zero_ratio=0.000988 two_zeros_ratio=0.000006
[layer_13.up] calls=141 zero_ratio=0.000655 two_zeros_ratio=0.000002
[layer_13.v] calls=141 zero_ratio=0.000988 two_zeros_ratio=0.000006
[layer_14.down] calls=141 zero_ratio=0.474085 two_zeros_ratio=0.645246
[layer_14.gate] calls=141 zero_ratio=0.000684 two_zeros_ratio=0.000003
[layer_14.k] calls=141 zero_ratio=0.000988 two_zeros_ratio=0.000006
[layer_14.o] calls=141 zero_ratio=0.000000 two_zeros_ratio=0.000000
[layer_14.q] calls=141 zero_ratio=0.000988 two_zeros_ratio=0.000006
[layer_14.up] calls=141 zero_ratio=0.000684 two_zeros_ratio=0.000003
[layer_14.v] calls=141 zero_ratio=0.000988 two_zeros_ratio=0.000006
[layer_15.down] calls=141 zero_ratio=0.472662 two_zeros_ratio=0.643010
[layer_15.gate] calls=141 zero_ratio=0.000589 two_zeros_ratio=0.000002
[layer_15.k] calls=141 zero_ratio=0.000983 two_zeros_ratio=0.000006
[layer_15.o] calls=141 zero_ratio=0.000000 two_zeros_ratio=0.000000
[layer_15.q] calls=141 zero_ratio=0.000983 two_zeros_ratio=0.000006
[layer_15.up] calls=141 zero_ratio=0.000589 two_zeros_ratio=0.000002
[layer_15.v] calls=141 zero_ratio=0.000983 two_zeros_ratio=0.000006
[layer_16.down] calls=141 zero_ratio=0.478480 two_zeros_ratio=0.651662
[layer_16.gate] calls=141 zero_ratio=0.000538 two_zeros_ratio=0.000002
